id;Name;Name on Shirt;Nationality;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick
220;NAKAYAMA;NAKAYAMA;Japan;179;73;R;R;CF; SS CF;1;87;50;78;82;80;89;84;77;75;73;71;71;72;84;79;73;72;89;88;79;86;50;82;7;7;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;INAMOTO;INAMOTO;Japan;181;75;R;R;CMF; DMF CMF LMF RMF AMF SS;1;76;73;83;90;83;82;83;78;81;79;78;80;78;77;85;73;75;72;76;78;80;45;80;6;6;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;OKUDERA;OKUDERA;Japan;177;77;L;R;LMF; LB RB CMF LMF RMF LWF RWF CF;2;80;64;80;85;88;82;85;83;84;80;75;81;75;81;85;72;76;75;83;82;82;50;85;6;6;5;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
557;FELLAINI;FELLAINI;Belgium;194;84;R;R;CMF; DMF CMF AMF SS;1;79;68;91;85;77;83;74;78;73;81;78;78;79;73;84;69;72;90;84;83;79;50;81;6;6;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
721;TONY DUNNE;DUNNE;Ireland;168;66;L;R;LB; LB;1;71;79;80;85;87;82;87;79;83;79;78;82;80;67;82;67;72;78;83;80;90;50;85;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
723;S. PORRINI;PORRINI;Italy;181;76;R;R;RB; CB RB RMF;1;65;78;80;86;80;82;80;73;75;74;73;79;79;68;81;70;73;82;85;75;87;50;79;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
729;ROBBIE KEANE;R. KEANE;Ireland;176;72;R;R;CF; LWF SS CF;1;86;42;78;85;85;86;87;85;85;78;75;77;75;87;82;72;82;75;76;87;87;45;82;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
736;DEMIAN DUFF;DUFF;Ireland;177;75;L;R;LWF; LMF RMF LWF RWF SS;1;81;55;80;85;89;81;89;86;85;78;80;79;82;78;83;75;82;68;74;84;79;40;82;6;6;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
745;CHRIS NICHOLL;C. NICHOLL;Northern Ireland;188;80;L;R;CB; CB;1;58;87;87;83;76;85;75;75;73;77;76;73;74;66;88;65;73;84;83;75;87;50;83;7;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
793;GARY NEVILLE;G. NEVILLE;England;179;75;R;R;RB; CB LB RB;1;72;83;83;90;79;83;78;77;77;80;82;85;81;66;79;68;81;82;85;79;90;50;90;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
